age,income,engagement_score,visits_per_month,time_on_site,interaction_rate,location,device_type,membership,target
19.0,119750.0,,,4.79,,Rural,Mobile,Silver,no
45.0,117428.0,,,3.13,,Suburban,Desktop,Gold,yes
18.0,44661.0,,,9.91,,Urban,Mobile,Gold,no
61.0,81412.0,,,10.14,,Suburban,Mobile,Free,yes
37.0,20000.0,,,5.77,,Suburban,Tablet,Gold,yes
22.0,61006.0,,,11.44,,Urban,Mobile,Free,no
64.0,76384.0,,,10.96,,Urban,Mobile,Silver,yes
32.0,31472.0,,,0.5,,Urban,Mobile,Free,no
36.0,107646.0,,,13.52,,Rural,Desktop,Free,yes
35.0,49458.0,,,5.28,,Urban,Mobile,Free,no
18.0,20000.0,,,0.5,,Urban,Mobile,Silver,yes
28.0,115959.0,,,9.4,,Urban,Mobile,Silver,no
18.0,95774.0,,,0.5,,Urban,Mobile,Free,no
21.0,56142.0,,,8.82,,Urban,Mobile,Free,yes
18.0,20000.0,,,2.63,,Suburban,Mobile,Silver,no
35.0,20000.0,,,0.5,,Suburban,Mobile,Silver,no
18.0,20000.0,,,0.5,,Suburban,Tablet,Free,no
23.0,35047.0,,,7.94,,Urban,Mobile,Free,yes
18.0,89836.0,,,0.5,,Suburban,Mobile,Free,no
41.0,33180.0,,,0.5,,Suburban,Mobile,Platinum,no
18.0,20000.0,,,2.76,,Suburban,Desktop,Silver,yes
65.0,91027.0,,,20.49,,Urban,Desktop,Gold,yes
27.0,20000.0,,,0.5,,Urban,Mobile,Silver,yes
19.0,57384.0,,,9.02,,Suburban,Desktop,Silver,no
31.0,80675.0,,,9.35,,Rural,Desktop,Free,no
38.0,38389.0,,,4.29,,Urban,Desktop,Free,no
18.0,20000.0,,,2.29,,Urban,Desktop,Silver,yes
24.0,20000.0,,,0.5,,Urban,Mobile,Silver,no
28.0,24110.0,,,4.68,,Rural,Desktop,Free,no
24.0,87891.0,,,1.16,,Rural,Mobile,Free,no
18.0,142259.0,,,5.05,,Rural,Tablet,Silver,no
55.0,81798.0,,,23.56,,Urban,Mobile,Free,yes
18.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
19.0,99267.0,,,1.05,,Suburban,Mobile,Free,no
18.0,95584.0,,,5.43,,Suburban,Desktop,Silver,no
24.0,57716.0,,,10.73,,Urban,Mobile,Free,no
47.0,107240.0,,,7.08,,Suburban,Mobile,Free,no
28.0,105049.0,,,0.5,,Suburban,Mobile,Gold,yes
18.0,20000.0,,,1.45,,Urban,Mobile,Silver,no
37.0,131120.0,,,13.95,,Suburban,Desktop,Silver,yes
36.0,82277.0,,,2.93,,Rural,Desktop,Silver,no
25.0,58782.0,,,5.48,,Urban,Mobile,Silver,no
18.0,68694.0,,,0.5,,Suburban,Tablet,Platinum,no
44.0,84083.0,,,26.02,,Rural,Desktop,Free,yes
20.0,30937.0,,,19.66,,Suburban,Desktop,Gold,yes
37.0,135037.0,,,9.64,,Suburban,Mobile,Silver,no
18.0,31408.0,,,0.5,,Urban,Desktop,Silver,yes
18.0,109263.0,,,2.87,,Suburban,Desktop,Silver,no
48.0,20000.0,,,0.5,,Suburban,Mobile,Free,no
18.0,116092.0,,,2.77,,Rural,Desktop,Free,no
43.0,27565.0,,,0.64,,Suburban,Desktop,Gold,no
23.0,20000.0,,,0.5,,Suburban,Desktop,Free,no
35.0,46255.0,,,8.6,,Suburban,Mobile,Free,yes
18.0,87627.0,,,0.5,,Suburban,Mobile,Silver,no
51.0,104438.0,,,16.1,,Urban,Desktop,Free,yes
23.0,91910.0,,,0.5,,Urban,Mobile,Free,no
31.0,20000.0,,,0.5,,Suburban,Tablet,Free,no
18.0,114174.0,,,1.49,,Suburban,Desktop,Free,no
20.0,24836.0,,,6.3,,Urban,Tablet,Silver,yes
27.0,107211.0,,,20.99,,Urban,Mobile,Free,yes
35.0,32587.0,,,3.14,,Suburban,Desktop,Free,yes
28.0,26323.0,,,5.32,,Urban,Mobile,Free,no
18.0,20000.0,,,0.5,,Urban,Mobile,Gold,yes
19.0,35964.0,,,3.99,,Urban,Desktop,Silver,no
18.0,20000.0,,,0.5,,Urban,Mobile,Free,no
18.0,20000.0,,,0.5,,Suburban,Desktop,Silver,no
18.0,20000.0,,,2.77,,Urban,Tablet,Free,no
32.0,146688.0,,,11.76,,Urban,Mobile,Silver,no
65.0,88619.0,,,31.82,,Suburban,Mobile,Silver,yes
28.0,38425.0,,,2.12,,Suburban,Desktop,Free,no
18.0,59639.0,,,11.8,,Suburban,Desktop,Silver,no
18.0,44321.0,,,7.43,,Rural,Mobile,Free,no
40.0,33189.0,,,0.5,,Urban,Desktop,Free,yes
18.0,20000.0,,,0.5,,Urban,Mobile,Platinum,yes
18.0,97069.0,,,0.5,,Rural,Mobile,Free,no
50.0,108559.0,,,15.01,,Suburban,Mobile,Free,yes
70.0,90038.0,,,41.16,,Suburban,Tablet,Silver,yes
18.0,41527.0,,,10.57,,Urban,Tablet,Free,no
18.0,54594.0,,,10.4,,Suburban,Mobile,Free,no
18.0,43471.0,,,5.06,,Suburban,Mobile,Free,no
27.0,110140.0,,,4.15,,Suburban,Mobile,Silver,no
36.0,20000.0,,,0.5,,Suburban,Desktop,Free,no
18.0,20000.0,,,3.12,,Rural,Desktop,Free,yes
18.0,64748.0,,,0.5,,Rural,Mobile,Silver,no
51.0,114300.0,,,15.3,,Suburban,Tablet,Platinum,yes
27.0,153488.0,,,3.38,,Urban,Desktop,Free,yes
18.0,57079.0,,,0.5,,Suburban,Mobile,Gold,no
43.0,20000.0,,,0.5,,Rural,Mobile,Free,no
