age,income,visits,rating,engagement,location,product_type,season,target
41.0,71264.0,7.0,3.2242099669464492,25.54,Urban,A,Summer,6323.51
33.0,68986.0,11.0,3.7093567023604725,61.43,Suburban,D,Summer,7216.66
43.0,37487.0,10.0,4.083353496128878,19.75,Urban,C,Spring,7496.99
53.0,80001.0,10.0,4.534477037785179,46.43,Urban,B,Spring,8025.69
32.0,30000.0,4.0,4.056736982449527,45.47,Urban,D,Winter,6589.4
32.0,43170.0,6.0,2.5522665565272233,25.97,Rural,D,Winter,5371.66
54.0,30000.0,9.0,3.6704387732314503,38.62,Rural,C,Summer,8258.74
44.0,130524.0,9.0,3.9770279336779084,,Suburban,A,Spring,5948.34
29.0,53328.0,10.0,3.434471131684625,46.97,Urban,D,Autumn,6708.42
42.0,176918.0,7.0,4.167956241637871,38.81,Suburban,C,Autumn,8001.28
29.0,89454.0,7.0,4.520064024567308,55.77,Rural,A,Autumn,7305.72
29.0,74910.0,11.0,3.8879898504661097,55.51,Urban,C,Summer,9164.42
38.0,44662.0,12.0,,7.58,Suburban,C,Winter,6015.89
18.0,35484.0,7.0,3.036031029511982,34.33,Suburban,D,Autumn,5885.85
18.0,77768.0,5.0,4.217166289248886,27.84,Suburban,D,Winter,5640.49
28.0,57771.0,6.0,3.049959610943263,12.36,Rural,A,Autumn,5086.57
23.0,30649.0,12.0,5.0,12.7,Suburban,B,Winter,5949.23
39.0,30000.0,8.0,2.822759179336437,34.82,Rural,A,Winter,6075.47
24.0,37073.0,9.0,4.451127623312011,36.52,Rural,C,Summer,8359.26
18.0,148819.0,13.0,3.1606026600098427,5.59,Rural,A,Autumn,4573.23
53.0,181070.0,11.0,3.414211089397255,49.44,Urban,D,Spring,6940.37
32.0,66336.0,5.0,3.799486115682619,53.77,Rural,B,Spring,7996.83
36.0,64503.0,6.0,3.769340719110245,45.59,Rural,A,Winter,6643.4
18.0,50607.0,10.0,3.8429953639527463,29.28,Suburban,A,Winter,5938.2
28.0,37525.0,10.0,4.048792255891507,35.63,Suburban,D,Winter,5921.72
36.0,119085.0,10.0,3.996055942458896,24.74,Urban,C,Winter,7494.82
21.0,152785.0,13.0,4.230650798003631,26.57,Urban,A,Autumn,6329.44
40.0,38303.0,7.0,3.672714149236151,6.64,Urban,D,Spring,4705.74
28.0,57445.0,10.0,4.146027745534012,13.23,Suburban,B,Winter,5825.41
31.0,47814.0,11.0,4.2094609401991745,30.3,Urban,A,Summer,6723.71
28.0,48527.0,5.0,3.6083207747756014,,Urban,C,Summer,8774.72
57.0,108332.0,8.0,4.674448424004257,51.62,Rural,C,Spring,8806.72
35.0,31071.0,9.0,3.2373862190617033,9.05,Rural,D,Autumn,4532.33
22.0,75602.0,5.0,2.516694958250261,34.27,Rural,C,Autumn,7731.98
45.0,86174.0,9.0,3.22001521736809,14.94,Urban,C,Winter,6806.14
20.0,55766.0,4.0,4.2901976163634306,6.01,Suburban,B,Spring,5555.07
38.0,93576.0,11.0,1.9866493027443812,5.78,Suburban,C,Spring,5944.46
18.0,64462.0,5.0,4.508837301107916,33.84,Rural,C,Autumn,7994.72
19.0,110036.0,6.0,5.0,12.57,Urban,B,Autumn,6409.56
37.0,30000.0,16.0,3.3646434944048598,11.73,Urban,C,Winter,6603.59
44.0,50293.0,7.0,4.18901900480576,46.25,Urban,C,Spring,8691.93
37.0,57762.0,10.0,5.0,37.18,Rural,A,Spring,6810.27
34.0,30000.0,6.0,4.030504371013158,26.49,Suburban,C,Autumn,7419.66
31.0,34788.0,5.0,4.227007576230546,25.04,Urban,D,Autumn,5895.97
18.0,39863.0,4.0,4.931764353241689,9.83,Suburban,C,Winter,6485.64
26.0,96192.0,8.0,3.983661379833275,35.71,Urban,A,Spring,6819.71
29.0,42048.0,6.0,3.6041443539663405,22.85,Rural,C,Summer,7569.26
48.0,39774.0,7.0,4.349084981907839,6.6,Rural,D,Spring,4595.38
